,COU.AG.ALPHA,COU.AG.DELTA,COU.AG.EPOCH,COU.AG.EQUINOX,COU.AG.PMA,COU.AG.PMD,COU.GS.MAG,DEL.REF.OPL,DET1.APOTYPE.VAL,DET1.APOX.VAL,DET1.APOY.VAL,DET1.INTERFX.VAL,DET1.INTERFY.VAL,DET1.NCOHERENT.VAL,DET1.NINCOHERENT.VAL,DET1.SNRLIMIT.VAL,DET1.WLMAXCUT.VAL,DET1.WLMINCUT.VAL,DET2.APOTYPE.VAL,DET2.APOX.VAL,DET2.APOY.VAL,DET2.INTERFX.VAL,DET2.INTERFY.VAL,DET2.NCOHERENT.VAL,DET2.NINCOHERENT.VAL,DET2.SNRLIMIT.VAL,DET2.WLMAXCUT.VAL,DET2.WLMINCUT.VAL,GetAutoLADC.-.max.ODP,SEQ.ACQ.DET1.DIT,SEQ.ACQ.DET2.DIT,SEQ.ACQ.SKY.DURATION,SEQ.ACQ.TARG.DURATION,SEQ.DIL.WL0,SEQ.FS.DET1.DIT,SEQ.FS.INS.SFL.NAME,SEQ.FS.INS.SFN.NAME,SEQ.FS.SKY.DURATION,SEQ.FS.TARG.DURATION,SEQ.OPDM.L.WLMAX,SEQ.OPDM.N.WLMAX,SEQ.PUP.DET1.DIT,SEQ.PUP.SKY.DURATION,SEQ.PUP.TARG.DURATION,SEQ.SKY.OFFS.ALPHA,SEQ.SKY.OFFS.DELTA,SEQ.TARG.FLUX.L,SEQ.TARG.FLUX.N,SEQ.TARG.MAG.K,TEL.CHOP.FREQ,TEL.CHOP.POSANG,TEL.CHOP.PVRATIO,TEL.CHOP.THROW,TEL.GS1.ALPHA,TEL.GS1.DELTA,TEL.GS1.MAG,TEL.TARG.ADDVELALPHA,TEL.TARG.ADDVELDELTA,TEL.TARG.ALPHA,TEL.TARG.DELTA,TEL.TARG.EQUINOX,TEL.TARG.PMA,TEL.TARG.PMD,Temperature
130,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
131,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
132,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
133,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
134,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
135,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
136,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
137,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
138,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,3000.0,300.0,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,100000.0,-450000.0,2000.0,250.0,0.0,
148,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.28332014396e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,995.0,143.0,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,64508.91,-164258.0,2000.0,-0.546,-1.22,290.18
150,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,4.986079067675618e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,995.0,143.0,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,64508.91,-164258.0,2000.0,-0.546,-1.22,290.215
152,0.0,0.0,2000.0,2000.0,0.0,0.0,9.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,7.78227939319321e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,1.6,0.1,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,72640.709,-345618.0,2000.0,-0.0353,-0.032382,290.225
154,0.0,0.0,2000.0,2000.0,0.0,0.0,6.305,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,6.4503940121738975e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,22.0,4.0,3.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,102636.91,-5916.9,2000.0,-0.0482,0.00878,290.22
156,0.0,0.0,2000.0,2000.0,0.0,0.0,4.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,4.124488872622381e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,130.4,16.4,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,112436.59,-105133.5,2000.0,-0.0245,0.0235,290.22
158,0.0,0.0,2000.0,2000.0,0.0,0.0,4.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,2.8105957256948354e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,130.4,16.4,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,112436.59,-105133.5,2000.0,-0.0245,0.0235,290.21
160,0.0,0.0,2000.0,2000.0,0.0,0.0,4.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,2.7013755790113635e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,130.4,16.4,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,112436.59,-105133.5,2000.0,-0.0245,0.0235,290.21
162,0.0,0.0,2000.0,2000.0,0.0,0.0,4.8,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,2.83302092182378e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,130.4,16.4,0.0,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,112436.59,-105133.5,2000.0,-0.0245,0.0235,290.225
164,0.0,0.0,2000.0,2000.0,0.0,0.0,2.05,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,4.006178842742193e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,85.0,56.0,-0.273,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,140640.94,-362211.8,2000.0,-0.521,-0.518,290.22
166,0.0,0.0,2000.0,2000.0,0.0,0.0,2.05,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,3.395561794464207e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,85.0,56.0,-0.273,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,140640.94,-362211.8,2000.0,-0.521,-0.518,290.23
168,0.0,0.0,2000.0,2000.0,0.0,0.0,2.05,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,2.6058520865270395e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,85.0,56.0,-0.273,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,140640.94,-362211.8,2000.0,-0.521,-0.518,290.225
170,0.0,0.0,2000.0,2000.0,0.0,0.0,4.05,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,2.8346591081495056e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,148.0,21.0,0.78,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,144339.43,-351025.1,2000.0,-0.0615,-0.177,290.195
188,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,2.41181310494e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,995.0,143.0,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,64508.91,-164258.0,2000.0,-0.546,-1.22,290.135
190,0.0,0.0,2000.0,2000.0,0.0,0.0,4.6,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,4.653103638683629e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,59.0,5.59,2.29,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,105643.05,-370815.9,2000.0,0.0743,-0.125,290.135
192,0.0,0.0,2000.0,2000.0,0.0,0.0,4.6,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,4.498429226201677e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,59.0,5.59,2.29,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,105643.05,-370815.9,2000.0,0.0743,-0.125,290.14
194,0.0,0.0,2000.0,2000.0,0.0,0.0,4.6,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,3.4542264318879207e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,59.0,5.59,2.29,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,105643.05,-370815.9,2000.0,0.0743,-0.125,290.14
196,0.0,0.0,2000.0,2000.0,0.0,0.0,4.6,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.5477106506477417e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,59.0,5.59,2.29,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,105643.05,-370815.9,2000.0,0.0743,-0.125,290.14
220,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.54478936425e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,995.0,143.0,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,64508.91,-164258.0,2000.0,-0.546,-1.22,290.08
221,0.0,0.0,2000.0,2000.0,0.0,0.0,0.0,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,1.48574474378e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,995.0,143.0,-1.35,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,64508.91,-164258.0,2000.0,-0.546,-1.22,290.08
223,0.0,0.0,2000.0,2000.0,0.0,0.0,2.05,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,5.6196426672432e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,377.0,48.0,-0.3,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,140640.94,-362211.8,2000.0,-0.521,-0.518,290.09000000000003
225,131239.26,-624304.88,2000.0,2000.0,-0.005038,-0.001655,10.6,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,3.965364447127367e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,107.0,100.0,5.09,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,131239.64,-624255.8,2000.0,0.0,0.0,290.08
227,0.0,0.0,2000.0,2000.0,0.0,0.0,6.5,30.0,0.0,512.0,512.0,512.0,512.0,1.0,1.0,5.0,4.8,3.0,0.0,512.0,512.0,512.0,512.0,20.0,1.0,5.0,10.0,8.0,4.31158128324879e-06,0.005,0.005,10.0,10.0,3.5,0.111,1.5,2.0,15.0,30.0,4.0,13.0,0.06,10.0,10.0,1.0,15.0,18.0,3.0,2.9,0.5,0.0,1.0,4.5,0.0,0.0,12.0,0.0,0.0,143712.41,-530338.8,2000.0,-0.0118,-0.0182,290.085
